state,district,latitude,longitude
Andaman and Nicobar,South Andaman,10.59228,92.538513
Andaman and Nicobar,North And Middle Andaman,12.382571,92.822911
Andaman and Nicobar,Nicobar Islands,7.835291,93.511601
Andhra Pradesh,Adilabad,19.284514,78.813212
Andhra Pradesh,Anantapur,14.312066,77.460158
Andhra Pradesh,Chittoor,13.331093,78.927639
Andhra Pradesh,Y.S.R. Kadapa,14.490289,78.696139
Andhra Pradesh,East Godavari,16.782718,82.243207
Andhra Pradesh,Guntur,15.884926,80.586576
Andhra Pradesh,Hyderabad,17.389716,78.466689
Andhra Pradesh,Karimnagar,18.515483,79.437654
Andhra Pradesh,Khammam,17.683921,80.670086
Andhra Pradesh,Krishna,16.143873,81.148051
Andhra Pradesh,Kurnool,15.437597,77.900868
Andhra Pradesh,Mahbubnagar,16.639546,77.989331
Andhra Pradesh,Medak,17.889305,78.137789
Andhra Pradesh,Nalgonda,17.113251,79.169845
Andhra Pradesh,S.P.S. Nellore,13.894344,80.147027
Andhra Pradesh,Nizamabad,18.429486,78.075235
Andhra Pradesh,Prakasam,15.489039,80.116658
Andhra Pradesh,Rangareddi,17.245236,78.057568
Andhra Pradesh,Srikakulam,18.570901,84.258748
Andhra Pradesh,Vishakhapatnam,17.646839,83.01014
Andhra Pradesh,Vizianagaram,18.283297,83.459829
Andhra Pradesh,Warangal,18.017526,79.87422
Andhra Pradesh,West Godavari,16.632979,81.45913
Arunachal Pradesh,Changlang,27.360485,96.375526
Arunachal Pradesh,East Kameng,27.371194,93.047415
Arunachal Pradesh,East Siang,28.153824,95.064992
Arunachal Pradesh,Kurung Kumey,28.048534,93.24532
Arunachal Pradesh,Lohit,27.946785,96.596708
Arunachal Pradesh,Lower Dibang Valley,28.326517,95.765673
Arunachal Pradesh,Lower Subansiri,27.708493,93.962261
Arunachal Pradesh,Papum Pare,27.27353,93.544682
Arunachal Pradesh,Tawang,27.680684,91.825042
Arunachal Pradesh,Tirap,26.944062,95.414703
Arunachal Pradesh,Upper Dibang Valley,29.019948,95.987764
Arunachal Pradesh,Upper Siang,28.830924,95.001558
Arunachal Pradesh,Upper Subansiri,28.277197,93.899144
Arunachal Pradesh,West Kameng,27.464866,92.650158
Arunachal Pradesh,West Siang,28.106297,94.535103
Assam,Barpeta,26.427872,90.97912
Assam,Bongaigaon,26.450125,90.67343
Assam,Cachar,24.815571,92.868497
Assam,Darrang,26.584632,92.041413
Assam,Dhemaji,27.586533,94.713369
Assam,Dhubri,26.045061,89.985008
Assam,Dibrugarh,27.306123,95.099828
Assam,Goalpara,26.017278,90.598699
Assam,Golaghat,26.37722,93.825834
Assam,Hailakandi,24.457496,92.591547
Assam,Jorhat,26.762448,94.301977
Assam,Kamrup,26.3161,91.5984
Assam,Kamrup Metropolitan,26.170939,91.588633
Assam,Karbi Anglong,26.089665,93.115366
Assam,Karimganj,24.696607,92.36795
Assam,Kokrajhar,26.497247,90.139975
Assam,Lakhimpur,27.141288,94.077595
Assam,Morigaon,26.2465,92.2195
Assam,Nagaon,26.264622,92.930619
Assam,Nalbari,26.463238,91.405985
Assam,North Cachar Hills,25.3383,92.977402
Assam,Sibsagar,27.027629,94.900258
Assam,Sonitpur,26.735149,92.851978
Assam,Tinsukia,27.535493,95.690559
Assam,South Salmara Mankachar,26.2006,92.9376
Bihar,Araria,26.211528,87.307666
Bihar,Aurangabad,24.774292,84.45986
Bihar,Banka,24.832356,86.866492
Bihar,Begusarai,25.543026,86.125601
Bihar,Bhabua,25.021566,83.611281
Bihar,Bhagalpur,25.277193,87.042138
Bihar,Bhojpur,25.506664,84.494078
Bihar,Buxar,25.48593,84.088081
Bihar,Darbhanga,26.146188,85.973874
Bihar,Gaya,24.726654,84.942912
Bihar,Gopalganj,26.448744,84.346361
Bihar,Jamui,24.784184,86.263163
Bihar,Jehanabad,25.155679,84.920812
Bihar,Katihar,25.565654,87.704661
Bihar,Khagaria,25.535589,86.565933
Bihar,Kishanganj,26.324337,87.95045
Bihar,Lakhisarai,25.183449,86.128257
Bihar,Madhepura,25.773419,86.897844
Bihar,Madhubani,26.413805,86.163284
Bihar,Munger,25.198538,86.541737
Bihar,Muzaffarpur,26.186644,85.327451
Bihar,Nalanda,25.229346,85.480531
Bihar,Nawada,24.825709,85.615946
Bihar,West Champaran,27.160644,84.302659
Bihar,Patna,25.402971,85.319843
Bihar,East Champaran,26.681293,85.003822
Bihar,Purnia,25.817148,87.404476
Bihar,Rohtas,24.991705,83.935076
Bihar,Saharsa,25.821271,86.546708
Bihar,Samastipur,25.793206,85.948333
Bihar,Saran,25.896561,84.822663
Bihar,Sheikhpura,25.124724,85.778394
Bihar,Sheohar,26.458381,85.295394
Bihar,Sitamarhi,26.565701,85.611725
Bihar,Siwan,26.173637,84.337666
Bihar,Supaul,26.281579,86.784965
Bihar,Vaishali,25.81347,85.392476
Bihar,Kaimur,25.0546,83.6774
Bihar,Arwal,25.2428,84.6656
Chandigarh,Chandigarh,30.7426,76.758725
Chhattisgarh,Bastar,19.393867,81.528951
Chhattisgarh,Bilaspur,22.356943,81.997704
Chhattisgarh,Dantewada,18.653854,81.072001
Chhattisgarh,Dhamtari,20.554913,81.75692
Chhattisgarh,Durg,21.194464,81.331816
Chhattisgarh,Janjgir-Champa,21.961094,82.804954
Chhattisgarh,Jashpur,22.772862,83.870396
Chhattisgarh,Kanker,20.139461,81.069131
Chhattisgarh,Kawardha,22.048001,81.162712
Chhattisgarh,Korba,22.491712,82.576043
Chhattisgarh,Koriya,23.504128,82.125156
Chhattisgarh,Mahasamund,21.223727,82.659254
Chhattisgarh,Raigarh,22.008265,83.277977
Chhattisgarh,Raipur,20.886032,82.200328
Chhattisgarh,Rajnandgaon,21.058415,80.785267
Chhattisgarh,Surguja,23.327193,83.235825
Chhattisgarh,Surajpur,23.2136,82.868
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,20.215132,73.09455
Dadra and Nagar Haveli and Daman and Diu,Daman,20.431617,72.839237
Dadra and Nagar Haveli and Daman and Diu,Junagadh,20.725682,70.839856
Delhi,Delhi,28.645944,77.128045
